start_ts,duration,start_station,end_station,subscriber,birth_year
2017-06-04 00:00:02,144,438,504,1,1989
2017-06-04 00:00:06,345,3175,3176,1,1983
2017-06-04 00:00:07,799,251,304,1,1992
2017-06-04 00:00:15,1316,242,3418,0,0
2017-06-04 00:00:15,554,412,428,0,0
2017-06-04 00:00:16,599,412,302,0,0
2017-06-04 00:00:20,1788,405,3134,1,1980
2017-06-04 00:00:24,223,2021,495,1,1954
2017-06-04 00:00:31,696,527,284,1,1992
2017-06-04 00:00:36,574,307,319,0,0
2017-06-04 00:00:36,386,405,462,1,1979
2017-06-04 00:00:38,992,398,217,0,1992
2017-06-04 00:00:43,258,3075,389,1,1990
2017-06-04 00:00:50,854,401,518,0,0
2017-06-04 00:00:56,155,307,291,1,1966
2017-06-04 00:00:57,1117,3458,490,1,1981
2017-06-04 00:01:02,519,3423,3371,1,1989
2017-06-04 00:01:04,840,466,394,1,1981
2017-06-04 00:01:02,17534,387,392,0,0
2017-06-04 00:01:05,2706,528,320,1,1993
2017-06-04 00:01:06,523,293,410,1,1988
2017-06-04 00:01:07,629,458,496,1,1998
2017-06-04 00:01:16,1160,3338,3314,1,1989
2017-06-04 00:01:21,895,481,3105,1,1989
2017-06-04 00:01:21,495,238,483,1,1982
2017-06-04 00:01:21,676,238,293,1,1990
2017-06-04 00:01:22,244,120,396,1,1979
2017-06-04 00:01:23,784,3260,442,1,1965
2017-06-04 00:01:30,1935,3387,530,0,0
2017-06-04 00:01:31,214,284,509,1,1985
2017-06-04 00:01:31,363,173,484,1,1990
2017-06-04 00:01:37,1672,387,392,0,0
2017-06-04 00:01:37,1681,387,392,0,0
2017-06-04 00:01:38,1353,3255,468,0,0
2017-06-04 00:01:41,610,488,3462,1,1991
2017-06-04 00:01:44,1820,412,428,1,1990
2017-06-04 00:01:49,786,380,458,1,1972
2017-06-04 00:01:47,937,398,217,0,1986
2017-06-04 00:01:48,644,326,501,1,1960
2017-06-04 00:01:53,251,161,439,1,1988
2017-06-04 00:01:54,447,274,310,1,1983
2017-06-04 00:01:54,423,295,302,1,1964
2017-06-04 00:01:55,1225,237,450,1,1986
2017-06-04 00:02:15,577,488,3462,1,1992
2017-06-04 00:02:16,704,389,3116,1,1983
2017-06-04 00:02:17,1480,212,3165,1,1990
2017-06-04 00:02:17,1294,426,368,0,0
2017-06-04 00:02:19,1299,426,368,1,1988
2017-06-04 00:02:23,78,3382,3382,0,0
2017-06-04 00:02:28,408,325,446,1,1996
2017-06-04 00:02:28,443,401,161,1,1990
2017-06-04 00:02:31,475,3263,336,0,1993
2017-06-04 00:02:32,228,504,507,1,1993
2017-06-04 00:02:34,407,504,504,1,1990
2017-06-04 00:02:36,317,396,364,0,0
2017-06-04 00:02:36,1060,3224,546,1,1991
2017-06-04 00:02:35,1199,364,395,0,0
2017-06-04 00:02:37,849,3164,334,1,1982
